   Elapsed time	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
   hh:mm:ss.mmm	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
       0:00.000	 -0.375	 -5.779	 -6.567	  1.324	  3.359	 -6.563	 -1.678	 -2.703	 -2.567	 -5.109	 -4.575	 -2.318
       0:00.004	 -0.136	 -5.649	 -6.676	  1.140	  3.534	 -6.551	 -1.656	 -2.682	 -2.546	 -5.080	 -4.546	 -2.276
       0:00.008	 -0.076	 -5.598	 -6.685	  1.083	  3.569	 -6.532	 -1.647	 -2.670	 -2.532	 -5.058	 -4.524	 -2.266
       0:00.012	 -0.132	 -5.616	 -6.647	  1.120	  3.520	 -6.520	 -1.633	 -2.664	 -2.528	 -5.045	 -4.518	 -2.276
       0:00.016	 -0.214	 -5.664	 -6.614	  1.186	  3.464	 -6.528	 -1.627	 -2.670	 -2.530	 -5.047	 -4.522	 -2.256
       0:00.019	 -0.202	 -5.709	 -6.670	  1.202	  3.497	 -6.579	 -1.658	 -2.711	 -2.569	 -5.076	 -4.548	 -2.268
       0:00.023	 -0.117	 -5.654	 -6.701	  1.132	  3.555	 -6.567	 -1.647	 -2.689	 -2.550	 -5.045	 -4.520	 -2.231
       0:00.027	 -0.171	 -5.701	 -6.693	  1.183	  3.524	 -6.586	 -1.641	 -2.682	 -2.546	 -5.033	 -4.515	 -2.229
       0:00.031	 -0.151	 -5.685	 -6.697	  1.165	  3.536	 -6.581	 -1.619	 -2.660	 -2.530	 -5.017	 -4.501	 -2.231
       0:00.035	 -0.101	 -5.662	 -6.724	  1.128	  3.575	 -6.583	 -1.610	 -2.649	 -2.520	 -5.006	 -4.482	 -2.206
       0:00.039	 -0.031	 -5.691	 -6.823	  1.109	  3.660	 -6.647	 -1.647	 -2.701	 -2.569	 -5.043	 -4.534	 -2.243
       0:00.043	 -0.082	 -5.755	 -6.837	  1.165	  3.641	 -6.685	 -1.645	 -2.720	 -2.583	 -5.060	 -4.555	 -2.272
       0:00.047	 -0.208	 -5.816	 -6.771	  1.258	  3.546	 -6.683	 -1.625	 -2.699	 -2.561	 -5.047	 -4.550	 -2.291
       0:00.051	 -0.216	 -5.771	 -6.718	  1.241	  3.515	 -6.635	 -1.610	 -2.674	 -2.542	 -5.021	 -4.526	 -2.262
       0:00.054	 -0.163	 -5.763	 -6.763	  1.210	  3.563	 -6.652	 -1.625	 -2.695	 -2.563	 -5.033	 -4.536	 -2.254
       0:00.058	 -0.231	 -5.794	 -6.726	  1.260	  3.511	 -6.650	 -1.616	 -2.691	 -2.557	 -5.021	 -4.524	 -2.243
       0:00.062	 -0.194	 -5.763	 -6.732	  1.225	  3.532	 -6.637	 -1.581	 -2.656	 -2.522	 -4.990	 -4.503	 -2.227
       0:00.066	 -0.150	 -5.732	 -6.746	  1.188	  3.561	 -6.629	 -1.583	 -2.662	 -2.526	 -4.988	 -4.501	 -2.219
       0:00.070	 -0.266	 -5.771	 -6.668	  1.266	  3.464	 -6.610	 -1.583	 -2.670	 -2.532	 -4.990	 -4.501	 -2.202
       0:00.074	 -0.252	 -5.786	 -6.697	  1.266	  3.485	 -6.631	 -1.588	 -2.682	 -2.542	 -5.002	 -4.511	 -2.216
       0:00.078	 -0.151	 -5.777	 -6.788	  1.212	  3.583	 -6.672	 -1.635	 -2.720	 -2.583	 -5.039	 -4.551	 -2.264
