   Elapsed time	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
   hh:mm:ss.mmm	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
       0:00.000	  0.613	 -4.845	 -5.827	  2.062	  2.203	 -5.382	  2.892	 -8.698	-11.735	  0.366	 -4.884	  0.371
       0:00.004	  0.701	 -4.832	 -5.902	  2.011	  2.284	 -5.413	  2.882	 -8.704	-11.752	  0.356	 -4.897	  0.338
       0:00.008	  0.721	 -4.820	 -5.910	  1.995	  2.299	 -5.412	  2.874	 -8.696	-11.752	  0.363	 -4.895	  0.319
       0:00.012	  0.722	 -4.806	 -5.897	  1.987	  2.292	 -5.399	  2.876	 -8.665	-11.737	  0.381	 -4.886	  0.356
       0:00.016	  0.830	 -4.670	 -5.869	  1.866	  2.333	 -5.317	  2.910	 -8.609	-11.690	  0.436	 -4.828	  0.435
       0:00.019	  0.897	 -4.590	 -5.856	  1.792	  2.359	 -5.270	  2.936	 -8.577	-11.662	  0.471	 -4.788	  0.464
       0:00.023	  0.789	 -4.711	 -5.869	  1.907	  2.312	 -5.337	  2.905	 -8.616	-11.709	  0.423	 -4.835	  0.404
       0:00.027	  0.690	 -4.832	 -5.891	  2.016	  2.273	 -5.408	  2.879	 -8.652	-11.748	  0.384	 -4.877	  0.368
       0:00.031	  0.721	 -4.799	 -5.889	  1.985	  2.288	 -5.391	  2.881	 -8.637	-11.743	  0.395	 -4.866	  0.386
       0:00.035	  0.866	 -4.660	 -5.895	  1.843	  2.364	 -5.325	  2.905	 -8.585	-11.701	  0.436	 -4.820	  0.426
       0:00.039	  0.922	 -4.618	 -5.908	  1.794	  2.399	 -5.310	  2.918	 -8.557	-11.686	  0.444	 -4.809	  0.435
       0:00.043	  0.863	 -4.678	 -5.910	  1.853	  2.369	 -5.342	  2.910	 -8.567	-11.709	  0.423	 -4.830	  0.413
       0:00.047	  0.864	 -4.672	 -5.905	  1.850	  2.368	 -5.335	  2.918	 -8.547	-11.698	  0.435	 -4.819	  0.426
       0:00.051	  0.866	 -4.668	 -5.904	  1.846	  2.368	 -5.333	  2.912	 -8.533	-11.694	  0.438	 -4.814	  0.436
       0:00.054	  0.739	 -4.763	 -5.871	  1.958	  2.288	 -5.364	  2.894	 -8.552	-11.721	  0.412	 -4.840	  0.412
       0:00.058	  0.539	 -4.946	 -5.855	  2.149	  2.180	 -5.448	  2.871	 -8.590	-11.771	  0.356	 -4.894	  0.356
       0:00.062	  0.430	 -5.056	 -5.855	  2.258	  2.126	 -5.502	  2.846	 -8.613	-11.807	  0.325	 -4.925	  0.327
       0:00.066	  0.407	 -5.069	 -5.845	  2.276	  2.109	 -5.505	  2.845	 -8.603	-11.807	  0.324	 -4.926	  0.325
       0:00.070	  0.444	 -5.020	 -5.833	  2.234	  2.123	 -5.474	  2.861	 -8.570	-11.792	  0.342	 -4.907	  0.340
       0:00.074	  0.500	 -4.967	 -5.837	  2.180	  2.152	 -5.449	  2.877	 -8.534	-11.775	  0.358	 -4.891	  0.353
       0:00.078	  0.598	 -4.881	 -5.848	  2.087	  2.206	 -5.412	  2.887	 -8.492	-11.745	  0.387	 -4.864	  0.374
       0:00.082	  0.663	 -4.809	 -5.842	  2.018	  2.235	 -5.373	  2.899	 -8.451	-11.717	  0.413	 -4.837	  0.402
       0:00.086	  0.665	 -4.796	 -5.830	  2.011	  2.230	 -5.359	  2.904	 -8.426	-11.708	  0.417	 -4.827	  0.415
       0:00.089	  0.654	 -4.827	 -5.850	  2.033	  2.235	 -5.386	  2.905	 -8.397	-11.709	  0.413	 -4.825	  0.410
       0:00.093	  0.696	 -4.791	 -5.856	  1.993	  2.260	 -5.371	  2.913	 -8.351	-11.690	  0.431	 -4.806	  0.423
       0:00.097	  0.717	 -4.748	 -5.835	  1.961	  2.260	 -5.338	  2.917	 -8.315	-11.670	  0.449	 -4.786	  0.441
       0:00.101	  0.719	 -4.721	 -5.809	  1.946	  2.247	 -5.312	  2.913	 -8.284	-11.658	  0.464	 -4.766	  0.461
       0:00.105	  0.737	 -4.704	 -5.810	  1.930	  2.257	 -5.304	  2.908	 -8.252	-11.652	  0.474	 -4.748	  0.479
       0:00.109	  0.760	 -4.672	 -5.801	  1.902	  2.263	 -5.283	  2.905	 -8.216	-11.642	  0.489	 -4.734	  0.490
       0:00.113	  0.773	 -4.645	 -5.788	  1.882	  2.263	 -5.263	  2.902	 -8.183	-11.631	  0.503	 -4.714	  0.503
       0:00.117	  0.851	 -4.544	 -5.765	  1.792	  2.291	 -5.201	  2.930	 -8.131	-11.588	  0.549	 -4.663	  0.549
       0:00.121	  0.884	 -4.503	 -5.757	  1.755	  2.304	 -5.176	  2.933	 -8.101	-11.578	  0.569	 -4.636	  0.575
       0:00.125	  0.830	 -4.541	 -5.740	  1.801	  2.268	 -5.188	  2.907	 -8.098	-11.592	  0.567	 -4.629	  0.575
       0:00.128	  1.075	 -4.297	 -5.742	  1.557	  2.392	 -5.067	  2.941	 -8.029	-11.525	  0.654	 -4.538	  0.662
       0:00.132	  1.263	 -4.113	 -5.745	  1.371	  2.487	 -4.975	  2.940	 -7.998	-11.487	  0.712	 -4.471	  0.725
       0:00.136	  1.057	 -4.276	 -5.703	  1.556	  2.363	 -5.036	  2.881	 -8.072	-11.559	  0.665	 -4.511	  0.688
       0:00.140	  0.668	 -4.614	 -5.652	  1.918	  2.144	 -5.180	  2.796	 -8.193	-11.675	  0.570	 -4.600	  0.595
       0:00.144	  0.502	 -4.747	 -5.618	  2.069	  2.042	 -5.229	  2.755	 -8.263	-11.734	  0.539	 -4.624	  0.565
       0:00.148	  0.600	 -4.627	 -5.596	  1.959	  2.082	 -5.158	  2.770	 -8.265	-11.719	  0.578	 -4.580	  0.611
       0:00.152	  0.719	 -4.505	 -5.593	  1.838	  2.139	 -5.096	  2.775	 -8.261	-11.698	  0.616	 -4.538	  0.652
       0:00.156	  0.819	 -4.404	 -5.592	  1.739	  2.188	 -5.044	  2.770	 -8.270	-11.678	  0.654	 -4.493	  0.693
       0:00.160	  0.918	 -4.291	 -5.578	  1.632	  2.232	 -4.982	  2.778	 -8.283	-11.654	  0.694	 -4.448	  0.745
       0:00.163	  0.917	 -4.289	 -5.575	  1.632	  2.229	 -4.979	  2.760	 -8.342	-11.676	  0.688	 -4.453	  0.745
       0:00.167	  0.812	 -4.405	 -5.587	  1.742	  2.183	 -5.042	  2.711	 -8.430	-11.740	  0.647	 -4.493	  0.703
       0:00.171	  0.773	 -4.441	 -5.583	  1.779	  2.162	 -5.059	  2.699	 -8.490	-11.765	  0.632	 -4.513	  0.688
       0:00.175	  0.835	 -4.373	 -5.577	  1.714	  2.190	 -5.021	  2.724	 -8.518	-11.747	  0.652	 -4.500	  0.706
       0:00.179	  0.874	 -4.338	 -5.582	  1.678	  2.211	 -5.007	  2.763	 -8.533	-11.722	  0.663	 -4.492	  0.719
       0:00.183	  0.837	 -4.377	 -5.583	  1.716	  2.193	 -5.028	  2.768	 -8.570	-11.721	  0.650	 -4.511	  0.708
       0:00.187	  0.853	 -4.400	 -5.623	  1.719	  2.221	 -5.059	  2.770	 -8.601	-11.721	  0.634	 -4.539	  0.686
       0:00.191	  0.941	 -4.371	 -5.681	  1.660	  2.294	 -5.074	  2.783	 -8.603	-11.712	  0.623	 -4.554	  0.670
       0:00.195	  0.892	 -4.474	 -5.735	  1.737	  2.297	 -5.152	  2.775	 -8.644	-11.742	  0.567	 -4.616	  0.611
       0:00.198	  0.779	 -4.619	 -5.768	  1.866	  2.257	 -5.240	  2.760	 -8.698	-11.784	  0.505	 -4.686	  0.539
       0:00.202	  0.650	 -4.766	 -5.786	  2.003	  2.201	 -5.324	  2.748	 -8.747	-11.825	  0.443	 -4.753	  0.479
       0:00.206	  0.542	 -4.887	 -5.799	  2.118	  2.154	 -5.391	  2.761	 -8.784	-11.851	  0.394	 -4.804	  0.431
       0:00.210	  0.515	 -4.930	 -5.814	  2.154	  2.147	 -5.418	  2.789	 -8.797	-11.855	  0.377	 -4.824	  0.413
       0:00.214	  0.587	 -4.874	 -5.830	  2.090	  2.191	 -5.399	  2.807	 -8.783	-11.835	  0.389	 -4.812	  0.431
       0:00.218	  0.642	 -4.825	 -5.837	  2.038	  2.222	 -5.377	  2.815	 -8.775	-11.822	  0.394	 -4.807	  0.444
       0:00.222	  0.672	 -4.801	 -5.842	  2.010	  2.240	 -5.368	  2.824	 -8.773	-11.819	  0.392	 -4.804	  0.448
       0:00.226	  0.698	 -4.779	 -5.846	  1.987	  2.255	 -5.359	  2.830	 -8.766	-11.807	  0.395	 -4.799	  0.456
       0:00.230	  0.694	 -4.781	 -5.845	  1.989	  2.253	 -5.359	  2.832	 -8.765	-11.797	  0.394	 -4.797	  0.454
       0:00.233	  0.668	 -4.810	 -5.848	  2.016	  2.242	 -5.376	  2.830	 -8.771	-11.806	  0.377	 -4.814	  0.436
       0:00.237	  0.667	 -4.833	 -5.869	  2.029	  2.252	 -5.399	  2.825	 -8.781	-11.817	  0.359	 -4.827	  0.422
       0:00.241	  0.685	 -4.837	 -5.891	  2.021	  2.271	 -5.410	  2.825	 -8.781	-11.819	  0.356	 -4.827	  0.430
       0:00.245	  0.678	 -4.840	 -5.887	  2.026	  2.266	 -5.410	  2.825	 -8.784	-11.817	  0.355	 -4.824	  0.438
       0:00.249	  0.701	 -4.810	 -5.881	  2.000	  2.275	 -5.392	  2.833	 -8.784	-11.812	  0.363	 -4.817	  0.443
       0:00.253	  0.740	 -4.778	 -5.887	  1.964	  2.297	 -5.379	  2.853	 -8.766	-11.799	  0.374	 -4.802	  0.453
       0:00.257	  0.691	 -4.807	 -5.868	  2.003	  2.263	 -5.384	  2.858	 -8.758	-11.789	  0.374	 -4.794	  0.462
       0:00.261	  0.619	 -4.868	 -5.856	  2.070	  2.221	 -5.408	  2.851	 -8.768	-11.797	  0.369	 -4.799	  0.462
       0:00.265	  0.632	 -4.882	 -5.884	  2.070	  2.242	 -5.430	  2.838	 -8.781	-11.809	  0.358	 -4.810	  0.456
       0:00.268	  0.647	 -4.874	 -5.891	  2.059	  2.252	 -5.430	  2.833	 -8.784	-11.820	  0.346	 -4.824	  0.443
       0:00.272	  0.636	 -4.840	 -5.845	  2.047	  2.224	 -5.389	  2.842	 -8.781	-11.810	  0.358	 -4.812	  0.449
       0:00.276	  0.650	 -4.832	 -5.851	  2.036	  2.234	 -5.389	  2.840	 -8.778	-11.807	  0.358	 -4.807	  0.451
       0:00.280	  0.727	 -4.815	 -5.912	  1.990	  2.302	 -5.410	  2.830	 -8.781	-11.815	  0.346	 -4.819	  0.436
       0:00.284	  0.743	 -4.812	 -5.925	  1.980	  2.317	 -5.415	  2.832	 -8.778	-11.812	  0.348	 -4.820	  0.435
       0:00.288	  0.704	 -4.814	 -5.887	  2.000	  2.279	 -5.397	  2.843	 -8.766	-11.801	  0.363	 -4.810	  0.451
       0:00.292	  0.667	 -4.828	 -5.864	  2.026	  2.248	 -5.394	  2.846	 -8.763	-11.797	  0.368	 -4.807	  0.456
       0:00.296	  0.637	 -4.851	 -5.858	  2.052	  2.230	 -5.402	  2.853	 -8.760	-11.796	  0.366	 -4.810	  0.453
